Birth rate (10^3 /yr),Storks (pairs)
118,1
188,4
551,5
59,9
83,100
774,140
82,150
87,300
120,1500
106,2500
901,3300
117,5000
124,5000
367,5000
439,8000
1576,25000
610,30000
